global_step,LRAP,train_loss,eval_loss,acc,prec,rec,f1,hamming_loss,binary_CE,prec_at_5,rec_at_5,f1_at_5,prec_at_8,rec_at_8,f1_at_8,prec_at_15,rec_at_15,f1_at_15,prec_macro,rec_macro,f1_macro,auc_macro,prec_micro,rec_micro,f1_micro,auc_micro
2000,0.3298754328957537,1.6746102571487427,1.3665590262263747,0.14760059537246603,0.16009816520505227,0.6829419185717371,0.2593892039275858,1.9844145187309357,37.92050665721193,0.2743801652892532,0.23915373217565847,0.2555587504070558,0.23823903369357916,0.3212594879341083,0.2735898202113445,0.1958041958041944,0.49238046249106493,0.28018689264763114,0.0897954403774129,0.51007947481408,0.14427617537378737,0.5035555734504817,0.16047668341454793,0.6846924485618873,0.26001227244835345,0.6026717392952876
4000,0.3860299672021524,1.056614637374878,1.2964020145920394,0.16879054697016918,0.17941587571689369,0.7489419300357408,0.2894833681708,1.8664839748846336,35.573384076413724,0.3267641449459605,0.28468238198639284,0.3042751607329174,0.2910839160839161,0.3931330023798912,0.33449828785728697,0.2222080949353653,0.5552153128568658,0.3173903325067848,0.17523139483109165,0.6449527410763577,0.2348485361797744,0.5827314068510567,0.18189998714487723,0.7621458580200366,0.29370251982232554,0.6517131469810997
6000,0.42452640808064374,1.4148246049880981,1.225146544640734,0.18616549714471767,0.19484179794312143,0.8108095330137838,0.31418361879262136,1.7921603065535923,34.3816983976981,0.3684678957406213,0.3326019624786144,0.34961749901782774,0.313652256834075,0.43369563950762974,0.3640329136578438,0.24183089637634797,0.6197883468927917,0.34791231199528866,0.2042840066112191,0.7509136077571668,0.2924823077778923,0.6425337160966046,0.19756917507111457,0.823009802865453,0.3186453402289742,0.6878394697433066
8000,0.4640894542470636,1.0249052047729492,1.178187908341505,0.20109950586284409,0.21156602010640307,0.8115762543291053,0.3356365237395802,1.5914041249361668,31.96540246339774,0.3923712650985375,0.35757551465057025,0.37416616976111977,0.33439287984742533,0.48051181585366254,0.3943522003288597,0.2586141131595642,0.6814957312518216,0.3749443008334144,0.22075783637556742,0.7468775974331098,0.3252646358372665,0.6670881643097978,0.21801394923393552,0.8216093935150275,0.3445907786838955,0.71361439012756
9804,0.47972530726141444,1.5641697645187378,1.1564946551548987,0.2008069610398778,0.2091897343727916,0.8386765829452661,0.33485670588216615,1.6465846491730876,32.615764586850574,0.4035600762873487,0.3722626941044987,0.38728010304690613,0.3485378258105531,0.4982341257287431,0.41015397028785294,0.2639542275905877,0.6941346854471834,0.38246927241881923,0.21874517081413442,0.7924005880032209,0.33180568716949976,0.6809406337678051,0.21614740185073647,0.8504793708930303,0.34469209107380644,0.7188663378893194
10000,0.4867594596871751,1.285815954208374,1.1544961038450436,0.21936968071621527,0.23209711432112867,0.8094384777556349,0.36075259710130697,1.3925128914539848,29.71777048931165,0.41627463445645285,0.392290258460997,0.40392672343826597,0.35259059122695485,0.5175299074251553,0.4194273697018693,0.26730239457511795,0.7129931048859981,0.38883125416028735,0.251641195485691,0.7374079922718885,0.3599227164578207,0.6891384385610074,0.24217098943323728,0.8147150705590865,0.3733616370054057,0.7367648903619313
12000,0.5087518387672868,0.8999668955802917,1.1313591237731397,0.22254950880790864,0.23329046154049984,0.8327317160508232,0.3644734048889271,1.4144534577509713,29.843682887876323,0.44195804195804206,0.41947519499627534,0.43042322463894706,0.37070883661792753,0.5476560720200249,0.44213567704016976,0.276668785759691,0.7388237885163066,0.4025819304585589,0.24510338414695973,0.7813652962346603,0.3630634350245308,0.7071642004859523,0.24307242044959212,0.8409996768286114,0.3771406487765996,0.7452652167642416
14000,0.5158770546246341,1.3716403245925903,1.1202099871336881,0.2237331253408687,0.2330428880754989,0.848105455405428,0.36562039966489374,1.427124134787481,30.237625414830646,0.43483788938334383,0.41439082953645684,0.4243682053632078,0.36713286713286714,0.541099264386957,0.43745495769994736,0.2789574062301295,0.7494607037888944,0.40658096539449307,0.25763838353854224,0.8025262501131789,0.3771897478283988,0.7142655135721258,0.24404270288458596,0.8594204459765162,0.3801400867203507,0.7515779698996137
16000,0.5363892335516308,1.4446285963058472,1.1020372326557453,0.23248643445345976,0.24414156891723868,0.8406629533013679,0.3783921769239008,1.3544460089287136,28.675798254297753,0.4579783852511125,0.4348052447387398,0.4460910733464641,0.38930387794024157,0.5776090609172427,0.4651203605036199,0.28611994066539126,0.7659601742949512,0.41661557234086716,0.2671684326432308,0.7862116042627596,0.38552041066344833,0.717039799010228,0.2525213592856684,0.8469244856188732,0.38904421406833756,0.7557167730615737
18000,0.5365867399933097,0.9889543056488037,1.1005454845259997,0.23975042188627504,0.25214805597375406,0.8312611428899703,0.3869283764731842,1.2763924443271844,27.605809964633025,0.4573426573426566,0.43555423582252584,0.44618260664296727,0.38819135410044503,0.5716444132683779,0.46238622563298726,0.28743377834286515,0.7717188367111915,0.4188594880501471,0.2777061620138765,0.7857972516096542,0.3955936081495661,0.7281844745933013,0.26374108982804634,0.8409996768286114,0.4015533381339368,0.7634078494281884
19608,0.5565315982348539,0.9624231457710266,1.0904237872692681,0.2550298732397653,0.2683633140863361,0.8443700624235799,0.4072816598312203,1.1972967028265482,26.35083150642066,0.47679593134138565,0.4690130835627162,0.4728724858078334,0.40034965034965037,0.6045814543021665,0.48171257256808186,0.2935367662640348,0.7915670057014963,0.42826137948823356,0.3088857674109895,0.7788893308662078,0.4242689111201017,0.7344751186009226,0.2781766099656965,0.8473553808036195,0.418849840255591,0.7765544185290174
