global_step,LRAP,train_loss,eval_loss,acc,prec,rec,f1,hamming_loss,binary_CE,prec_at_5,rec_at_5,f1_at_5,prec_at_8,rec_at_8,f1_at_8,prec_at_15,rec_at_15,f1_at_15,prec_macro,rec_macro,f1_macro,auc_macro,prec_micro,rec_micro,f1_micro,auc_micro
2000,0.32773671165020607,1.3860870599746704,1.3696049225778186,0.15133660816056013,0.16629709548913862,0.6578587193510754,0.2654837648424492,1.8522774582073351,37.6894988875649,0.27641449459631,0.2413379934059537,0.2576880691837549,0.23251748251748253,0.31656824456396343,0.2681098693358433,0.20110192837465396,0.5181718991904761,0.28975159157261504,0.08785557184215442,0.46718233274299886,0.13718311642064948,0.5004805531882288,0.1660939289805269,0.6560379187762577,0.265076497856319,0.6076259771343195
4000,0.38902415012007907,1.3196865320205688,1.294431596567891,0.16957857674135768,0.1818789823315022,0.7289080554029265,0.29111757158883667,1.7770761672244144,35.136314641426154,0.3378258105530811,0.29695809683119634,0.3160764115009889,0.29537507946598857,0.4023813497072082,0.3406731007444336,0.22445433354523991,0.569648904326459,0.3220240368696986,0.16566291968632496,0.6066176218591007,0.23793782654714202,0.5757475850331026,0.18635512496947,0.7397393084132284,0.2977109165004769,0.6537582467650354
6000,0.43641797558159034,1.0393816232681274,1.225280748976791,0.18952586758820306,0.20176357875806805,0.7586546626124145,0.31875462829975326,1.5901973937898324,32.291088703363776,0.3740623013350272,0.34127938505230143,0.3569196500083294,0.3277177368086459,0.46614155875294483,0.3848612909644203,0.24123755032845623,0.6326538892604153,0.3492879493653219,0.2162257229163378,0.6817274824862054,0.30194176462139044,0.6377274759092156,0.21080589305628925,0.773780028008187,0.3313421131535853,0.6930586532706036
8000,0.4601528964116958,1.0828883647918701,1.1804782893768577,0.193632380453134,0.20190849864448243,0.82222101385273,0.32420393794949987,1.6865164798336028,32.617065502967726,0.39593134138588615,0.3658596050973512,0.38030193158325304,0.3381277813095995,0.48423210828584834,0.3982011537408766,0.2548421275693969,0.6696929683910291,0.3691930822934167,0.21474042807605406,0.7691764899672922,0.32093383523762475,0.6648513241361033,0.20997729975137822,0.837013896369708,0.3357314148681055,0.7077871534697877
9804,0.4784944222363112,0.7653571963310242,1.1649317964778176,0.21367865165060365,0.22776436607284414,0.7720200845362238,0.3517531504771369,1.3876311154529055,29.97997135861415,0.40902733630006344,0.3822072341989025,0.3951627311238568,0.3481404958677686,0.5063668685245497,0.4126045486442637,0.2613265522356396,0.6934375130243036,0.37959877432161343,0.25029541702885105,0.7078622285145514,0.3449676853693878,0.6769691081997068,0.2385476866816861,0.787030054939136,0.3661237785016287,0.7254163638398882
10000,0.48590338070136535,1.058009386062622,1.1539529701678186,0.20689162363098224,0.21584863107617805,0.8389085327335095,0.3433534553766261,1.5601936693787035,31.140798912495516,0.4115702479338834,0.38801887671541835,0.3994477172581217,0.3483788938334393,0.513618253263983,0.4151609074978683,0.26882814155541046,0.7193274257284713,0.3913866630533666,0.23985570501809955,0.770326446930596,0.3450960197859297,0.6815527657198901,0.22470618660383324,0.8424000861790369,0.3547772434443336,0.7267199588996298
12000,0.49601123284124526,1.2139464616775513,1.143933466913875,0.22298789264731197,0.23640118447410866,0.7848948185615326,0.3633619719337364,1.3371678129698368,29.294575835620773,0.42542911633820685,0.39197078958658876,0.4080151843314598,0.36013986013986016,0.5184965546862516,0.42504788906264807,0.2712439076075403,0.7222499030331562,0.3943776677210342,0.2570559491577768,0.740482851325181,0.3606698646281273,0.6994956440968592,0.248776753320241,0.8051276526984811,0.38010476529522447,0.7398856075996911
14000,0.51930788833637,0.6788133382797241,1.118596591015408,0.22849947815997979,0.2394412211373131,0.833118024850242,0.3719753439596248,1.360973327402067,29.293868434912948,0.43674507310870947,0.41893456188420664,0.4276544593921479,0.3741258741258741,0.5501029460603163,0.4453610211215302,0.28247510065691483,0.7565131145690961,0.411354267651046,0.2653171781372511,0.780494971957672,0.3803122294808764,0.7133521008528463,0.2508103597676434,0.8418614671981041,0.38647940260125613,0.7526662850860704
16000,0.5408608404391217,0.8815696239471436,1.0948209410703247,0.23263427836601913,0.24202531536318003,0.8589897854296454,0.3776465437443253,1.381816865384204,29.150848782992107,0.45950413223140457,0.4421831428699707,0.450677273512543,0.3861252383979657,0.5736360418958738,0.46156342827853386,0.28836617927526625,0.7729870493764985,0.4200360747780758,0.2684504875240766,0.8133155802703813,0.3886850042181847,0.725361670651811,0.25155386201080676,0.8676074544866961,0.39002421307506047,0.761077502958025
18000,0.5480988031477296,0.8187406659126282,1.087431889580486,0.23466266347953088,0.2451365545806774,0.8507615397351554,0.38060610507882514,1.3637158981891901,28.150946266257346,0.4692943420216143,0.4479671760098379,0.45838282099524197,0.3958995549904641,0.5844284207676019,0.4720358031744552,0.28925619834710325,0.7718404980523178,0.4208092418994926,0.27786792894943696,0.7954655266764569,0.3954537770448453,0.7189964844444744,0.25327040638560705,0.8613594743078746,0.39144269838938667,0.7607502317695326
19608,0.5435119155469248,1.0487414598464966,1.092194255008254,0.25964004102833277,0.27608178089445096,0.8177419011885462,0.41279713374320137,1.130981341193907,25.634220652716667,0.4708200890019069,0.4514055568146325,0.46090846724880585,0.3984424666242848,0.5934880533014872,0.47678912810785407,0.29281627463445237,0.7842075033766686,0.4264134634115195,0.3194393359187946,0.742792480122313,0.4257313962911264,0.726496899527814,0.28645166151759477,0.8190240224065496,0.4244521981856246,0.7729989718618012
20000,0.5543799779993546,0.6866205930709839,1.0846833028499043,0.24028249336467736,0.24996851396021766,0.8603160088452736,0.387381630293901,1.3308599001594532,28.331763328086954,0.4728544183089638,0.45681447378388274,0.4646960742978599,0.3988397965670693,0.5951579901669113,0.47761211320878677,0.2925619834710702,0.7843804645366023,0.4261692998085872,0.277868411041669,0.8194836378993454,0.39786807594395646,0.7353838513952531,0.25944244604316546,0.870192825595174,0.3997130062594325,0.7688934632682718
22000,0.5649792811759266,0.9351771473884583,1.071081346124144,0.25128643290165914,0.26212079327687626,0.8597694683213631,0.40175668295860273,1.2460596114216005,27.26462471066746,0.48213604577240976,0.46857250274779866,0.47525752026558776,0.40718372536554354,0.6141215582359811,0.4896876730687386,0.296800169527438,0.7988620999229364,0.4328019925430346,0.29217147247502306,0.8081599675298858,0.4139116095171773,0.7409606532417868,0.2724747645823454,0.8665302165248303,0.4145857492591161,0.7784508594120972
