global_step,LRAP,train_loss,eval_loss,acc,prec,rec,f1,hamming_loss,binary_CE,prec_at_5,rec_at_5,f1_at_5,prec_at_8,rec_at_8,f1_at_8,prec_at_15,rec_at_15,f1_at_15
2000,0.3361216507687017,1.7602744102478027,1.3650406628900436,0.15104625362581864,0.16555581629344143,0.65953938650778,0.26467389736424596,1.8822263312027216,37.53463138023229,0.2762873490146187,0.24014228677991553,0.25694991612421086,0.23831849968213606,0.3225453538857544,0.27410760857025696,0.20156812884085445,0.5179572148848826,0.2902014989030377
4000,0.4015124744827398,1.2525451183319092,1.2707047948683736,0.1725068762335888,0.18244749643919575,0.7729291992918811,0.29521129825685105,1.8910025577215162,35.20513793104254,0.35054036872218514,0.30938262699814423,0.328678045309785,0.30634138588684046,0.4174573088036846,0.3533702159609201,0.22996397541851807,0.5797585934721838,0.3293068417756013
6000,0.44291140087339304,1.1047431230545044,1.2104106458013941,0.18811464995124302,0.19793887945519933,0.796741691832613,0.31709910145807935,1.7161910957502768,33.419082473459056,0.38690400508582234,0.353842228887349,0.3696352927525461,0.33359821996185635,0.47002948350780066,0.39023293585028435,0.24751006569188064,0.6421690392379736,0.35730478597587034
8000,0.46156098044816757,1.1692770719528198,1.1778688218064726,0.2058855831753571,0.21707839242257887,0.8070131584585541,0.34212784775212873,1.5270085628545116,30.98012125864388,0.3950413223140484,0.36654662204310917,0.3802609096809732,0.3411474888747616,0.4893397290525741,0.40202188828280844,0.2612841703750761,0.6913692934457907,0.3792435741245644
9804,0.4847903096720168,0.8198459148406982,1.1626460170489945,0.22278524973458258,0.23850162845924905,0.768694975661953,0.3640500826425678,1.315556355167305,28.976582955644812,0.416274634456452,0.38383707958505875,0.3993983269861557,0.35282898919262556,0.510468063361979,0.41725598454937884,0.26547997457088,0.708437768639331,0.386225720015096
10000,0.4851287622880966,0.9603396654129028,1.1547717740476025,0.21720036545936516,0.2301043079951468,0.7914392273536965,0.35654589242395174,1.4006857523996123,29.828905664841443,0.41068022886204664,0.374249155314157,0.39161925099071904,0.3541004450095359,0.5069906783766986,0.41697242011482427,0.2666666666666631,0.7055828720046531,0.3870517291100109
12000,0.49943642396843047,0.9612512588500977,1.132821642595455,0.21479767534129404,0.22408187158423257,0.8407892924085789,0.35385621213453916,1.5048485908945552,30.78659103287281,0.42581055308327936,0.40048508445787784,0.41275971351384216,0.3605371900826446,0.524752576848191,0.4274144503022472,0.27692307692307305,0.7388554217559398,0.4028557742855029
14000,0.5136747902328918,0.8749638199806213,1.1275044775606269,0.2397183163541771,0.25579638345197003,0.7879751392746911,0.3862170723914499,1.2190178634605648,27.18281236269203,0.44272091544818787,0.4169844871480594,0.429467474137955,0.37444373808010173,0.5491328270486142,0.4452675743974092,0.28018648018647624,0.7475194778815618,0.4075968417507242
16000,0.5276977293010388,0.934061586856842,1.1097903151151747,0.23456732984166548,0.2458728392500154,0.8368215919536449,0.38007344423231376,1.3436951314431902,28.860859255452368,0.4471710108073742,0.42429205462680614,0.4354312063712733,0.3822314049586777,0.5686783153444348,0.4571763371487029,0.2829413011231158,0.7539939814673419,0.41147416186363134
18000,0.5474426479841455,0.6033578515052795,1.0974035268926023,0.23230777529296884,0.24236022938567414,0.8548282065620921,0.3776495512345996,1.3798970658332177,28.983938768271592,0.46077558804831603,0.4404050199669833,0.4503600726643066,0.392085187539733,0.5811863637449326,0.4682651293437794,0.29014621741894087,0.776193785303688,0.4223975283960814
